gene_id,symbol,baseline_1,baseline_2,baseline_3,DE.BSA.DMSO.day5_2,DE.BSA.DMSO.day5_3,DE.FFA.LPS.day5_1,DE.FFA.LPS.day5_2,DE.FFA.LPS.day5_3,DE.TMC.day5_1,DE.TMC.day5_2,DE.TMC.day5_3
ENSG00000115541,HSPE1,4.98764,4.93657,4.93236,4.90978,4.97918,4.97937,4.88114,4.86777,4.73306,4.97714,4.6708
ENSG00000134109,EDEM1,2.96034,3.00926,2.93065,3.02803,2.94897,2.78572,2.83764,2.80304,3.95653,2.61691,3.80172
ENSG00000136574,GATA4,2.60609,2.57438,2.57227,2.58695,2.64909,2.24753,2.31687,2.14718,2.59964,2.39254,2.56336
ENSG00000127838,PNKD,4.55249,4.4974,4.52203,4.58481,4.50741,4.45011,4.39994,4.40331,4.03594,4.19173,4.15442
ENSG00000135521,LTV1,2.86484,2.82577,2.89737,2.86823,2.80928,2.96857,2.97351,2.9881,2.75654,3.06521,2.94511
ENSG00000244754,N4BP2L2,3.82992,3.81248,3.85159,3.80016,3.76507,3.78189,3.7648,3.64935,4.03796,4.43443,3.88261
ENSG00000182768,NGRN,3.94255,3.90795,3.83292,3.8603,3.84147,3.92408,3.88092,3.88536,4.17662,3.90702,4.2082
ENSG00000162496,DHRS3,4.72485,4.64271,4.76173,4.71307,4.69894,4.9802,4.73462,4.79094,5.07552,6.05611,5.14549
ENSG00000101444,AHCY,4.43172,4.38908,4.40306,4.39075,4.31579,4.41368,4.39471,4.37086,4.26149,4.11848,4.25862
ENSG00000115993,TRAK2,2.72221,2.77587,2.83081,2.81112,2.81853,2.79488,2.73852,2.73638,3.32947,2.57627,3.18187
ENSG00000104852,SNRNP70,5.23915,5.27601,5.26661,5.21238,5.24899,5.24743,5.2898,5.37659,5.12824,4.18587,5.08147
ENSG00000178951,ZBTB7A,3.71862,3.71709,3.67357,3.76075,3.63872,3.57189,3.59288,3.65476,3.04404,3.23357,3.05051
ENSG00000162511,LAPTM5,5.92874,5.95912,6.0341,5.96024,6.00271,6.47303,6.36282,6.49166,4.95124,5.12317,5.10182
ENSG00000124788,ATXN1,2.38101,2.40416,2.38386,2.34404,2.42363,2.58011,2.6146,2.60513,2.82707,2.22178,2.73376
ENSG00000086589,RBM22,2.99361,3.00261,2.97943,3.03809,3.05089,3.30657,3.15637,3.27621,3.13391,3.26034,3.13326
ENSG00000157916,RER1,4.75557,4.72376,4.7634,4.79646,4.74895,4.74086,4.8057,4.69542,5.18217,5.10294,5.18305
ENSG00000122705,CLTA,5.23402,5.21397,5.23849,5.14176,5.20686,5.38026,5.2901,5.37863,4.78995,5.29233,4.94816
ENSG00000170296,GABARAP,6.18913,6.1346,6.21884,6.20414,6.2103,6.39607,6.39553,6.35433,6.34845,6.66328,6.49167
ENSG00000204568,MRPS18B,3.98381,3.96208,4.01775,4.05162,4.01555,3.96484,3.94735,3.96144,4.36147,4.29821,4.45918
ENSG00000092847,AGO1,1.99813,2.00304,1.97634,2.06071,1.96138,1.99805,1.95669,2.02085,1.63978,0.64043,1.46239
ENSG00000070614,NDST1,4.11648,4.17683,4.18592,4.12518,4.17274,3.90674,4.06043,3.96614,3.59342,2.62325,3.52196
ENSG00000116406,EDEM3,2.36603,2.41306,2.38824,2.44852,2.36493,2.22044,2.31218,2.15495,2.86719,2.98566,2.61861
ENSG00000163041,H3F3A,5.70369,5.61596,5.65731,5.62362,5.68163,5.86505,5.78311,5.73891,5.05603,5.63345,5.22757
ENSG00000104687,GSR,3.96929,3.93899,3.90231,3.95819,3.89231,4.07608,3.9161,3.87319,3.68767,3.86402,3.54002
ENSG00000215908,CROCCP2,2.87922,2.93017,2.8742,2.84078,2.87925,2.50279,2.69045,2.76582,3.09001,1.55246,2.93633
ENSG00000134375,TIMM17A,3.9844,3.93152,3.95164,3.96266,3.98012,3.97973,3.90383,3.87456,4.81985,4.64956,4.80296
ENSG00000123240,OPTN,4.78998,4.74566,4.68685,4.70926,4.71709,4.70524,4.63212,4.69254,5.26232,5.23744,5.15867
ENSG00000168872,DDX19A,3.18262,3.10948,3.10014,3.13885,3.07762,3.32162,3.27107,3.31243,2.94168,2.14622,3.06951
ENSG00000141965,FEM1A,1.70967,1.7052,1.78293,1.72066,1.7382,1.73376,1.79748,1.79226,1.8328,1.48372,1.71432
ENSG00000160325,CACFD1,3.17617,3.11234,3.11196,3.06479,3.08047,3.06078,3.02015,2.87029,2.94056,2.91794,2.99684
ENSG00000174749,C4orf32,0.98725,0.984015,0.952326,0.961837,0.929758,0.968126,0.991057,0.875905,0.79222,0.97308,0.8578
ENSG00000171222,SCAND1,4.52471,4.45437,4.49418,4.49533,4.44947,4.54659,4.43325,4.55694,4.47552,5.07822,4.56505
ENSG00000068308,OTUD5,3.47982,3.47575,3.55124,3.50974,3.50226,3.45845,3.55965,3.65287,3.71187,3.45535,3.61573
ENSG00000141959,PFKL,4.89092,4.87601,4.88087,4.91898,4.93546,4.91017,4.94024,5.00003,4.54059,4.79569,4.62456
ENSG00000144635,DYNC1LI1,3.0476,3.04561,3.1113,3.04098,3.04452,3.26264,3.13572,3.18881,3.17959,2.75545,3.12583
ENSG00000165637,VDAC2,4.36243,4.37638,4.4047,4.32413,4.37526,4.6179,4.63201,4.62001,4.49816,4.61583,4.5084
ENSG00000148218,ALAD,4.01603,4.01367,3.94958,3.99632,3.92197,3.82013,3.78489,3.74543,3.55615,2.48269,3.4411
ENSG00000155256,ZFYVE27,3.07749,3.08656,3.10195,3.03526,3.06667,2.92848,2.94325,2.9582,2.9805,2.60509,2.88359
ENSG00000172428,COPS9,4.79443,4.72107,4.73026,4.72633,4.69543,4.92782,4.80496,4.80164,4.26314,5.12192,4.38099
ENSG00000099246,RAB18,4.43906,4.36913,4.40035,4.41684,4.39817,4.53656,4.3574,4.37538,4.55872,4.09472,4.49326
ENSG00000111605,CPSF6,3.11602,3.03463,3.09336,3.02277,3.05137,3.21895,3.23973,3.18256,2.80512,2.7644,2.96744
ENSG00000064601,CTSA,5.77702,5.75957,5.83981,5.75889,5.78722,6.01346,5.90215,5.97809,5.09168,5.37995,5.18149
ENSG00000228300,C19orf24,4.34152,4.27496,4.31134,4.34028,4.29298,4.39003,4.3592,4.37813,4.16523,5.38923,4.39784
ENSG00000071205,ARHGAP10,2.54322,2.5317,2.57688,2.55789,2.54432,2.66226,2.65234,2.83489,2.50983,2.56784,2.45709
ENSG00000140521,POLG,3.59004,3.55081,3.55167,3.61228,3.55933,3.56945,3.58827,3.73173,3.3057,3.46133,3.0705
