gene_id,symbol,baseline_1,baseline_2,baseline_3,DE.BSA.DMSO.day5_2,DE.BSA.DMSO.day5_3,DE.FFA.LPS.day5_1,DE.FFA.LPS.day5_2,DE.FFA.LPS.day5_3,DE.TMC.day5_1,DE.TMC.day5_3
ENSG00000198081,ZBTB14,1.7988099999999998,1.87432,1.9979,1.9026299999999998,1.8961299999999999,1.7915,1.77715,1.93423,2.03476,1.9010599999999998
ENSG00000073614,KDM5A,2.62542,2.59366,2.7401,2.81725,2.62847,2.61822,2.89498,2.83625,2.70257,2.45289
ENSG00000128699,ORMDL1,3.93152,3.7827300000000004,3.9868699999999997,3.68875,3.8581300000000005,3.9619999999999997,3.90505,3.8971699999999996,4.25154,4.29708
ENSG00000133393,FOPNL,2.7337599999999997,2.61618,2.84119,2.75022,2.54374,2.8249,2.61293,2.56123,3.07475,3.00711
ENSG00000160741,CRTC2,3.1467,3.30959,3.29755,3.16673,3.35791,3.3128300000000004,3.34367,3.57953,3.3452,3.37906
ENSG00000134278,SPIRE1,2.59521,2.8300099999999997,2.68701,2.81241,2.61279,2.78709,2.83416,2.8681200000000002,3.4664,3.19814
ENSG00000165507,C10orf10,3.17544,3.39572,3.3281699999999996,3.5059199999999997,3.3603400000000003,3.33218,3.49651,3.3569999999999998,3.34303,3.5668900000000003
ENSG00000225470,JPX,2.67027,2.53059,2.43837,2.3633,2.50739,2.6916,2.2701700000000002,2.6889,2.8789999999999996,2.87059
ENSG00000177410,ZFAS1,4.70006,4.58286,4.57038,4.43614,4.4066,4.866219999999999,4.57541,4.72548,6.272419999999999,6.26293
ENSG00000246067,RAB30-AS1,2.0766400000000003,2.158,2.3162700000000003,2.16818,2.45207,2.21294,2.30395,2.28819,1.78207,2.23998
ENSG00000145833,DDX46,2.99847,3.22514,3.0848,3.2766900000000003,3.22575,3.2017900000000004,3.22572,3.30306,2.70637,2.6890400000000003
ENSG00000106683,LIMK1,3.5931,3.6738199999999996,3.7115099999999996,3.8566199999999995,3.83466,4.05492,4.09336,4.24156,3.87278,3.88669
ENSG00000008869,HEATR5B,1.75013,1.9302599999999999,2.03302,2.03309,1.9256400000000002,1.83133,2.01789,1.9915900000000002,1.885,1.9513099999999999
ENSG00000112237,CCNC,3.7103900000000003,3.4582,3.5260800000000003,3.4992099999999997,3.5639999999999996,3.4616800000000003,3.64215,3.2829099999999998,3.75755,3.62089
